id,question,answer,recommendation,generator,plausible,answered
realmedqa_114,How can families and carers be included in the care pathway to ensure that their needs are addressed and that their opinions are valued?,"The network of care should provide access to a team of healthcare professionals experienced in the care of children and young people with spasticity. The network team should provide local expertise in paediatrics, nursing, physiotherapy and occupational therapy. Access to other expertise, including orthotics, orthopaedic surgery and/or neurosurgery and paediatric neurology, may be provided locally or regionally.","The network of care should provide access to a team of healthcare professionals experienced in the care of children and young people with spasticity. The network team should provide local expertise in paediatrics, nursing, physiotherapy and occupational therapy. Access to other expertise, including orthotics, orthopaedic surgery and/or neurosurgery and paediatric neurology, may be provided locally or regionally.",LLM,Not at all,Not at all
realmedqa_115,- why is an urgent referral important in babies with suspected or obvious jaundice in the first 24 hours of life?,Arrange a referral to ensure that an urgent medical review is conducted (as soon as possible and within 6 hours) for babies with suspected or obvious jaundice in the first 24 hours of life to exclude pathological causes of jaundice. [2010],Arrange a referral to ensure that an urgent medical review is conducted (as soon as possible and within 6 hours) for babies with suspected or obvious jaundice in the first 24 hours of life to exclude pathological causes of jaundice. [2010],LLM,Completely,Completely
realmedqa_116,What techniques can be utilised to guarantee that patients suffering with BPD receive adequate and effective care?,People with borderline personality disorder should not be excluded from any health or social care service because of their diagnosis or because they have self-harmed.,People with borderline personality disorder should not be excluded from any health or social care service because of their diagnosis or because they have self-harmed.,LLM,Completely,Completely
realmedqa_117,What are the key considerations when identifying and agreeing upon assessments and goals for children and young people with spasticity and cognitive impairments?,"Identify and agree with children and young people and their parents or carers assessments and goals that:are age and developmentally appropriate focus on the following domains of the World Health Organization's International Classification of Functioning, Disability and Health:body functionsbody structuresactivities and participationenvironmental factors.","Identify and agree with children and young people and their parents or carers assessments and goals that:are age and developmentally appropriate focus on the following domains of the World Health Organization's International Classification of Functioning, Disability and Health:body functionsbody structuresactivities and participationenvironmental factors.",LLM,Completely,Partially
realmedqa_118,What imaging test should be used for the diagnosis of community-acquired pneumonia?,Put in place processes to allow diagnosis (including X‑rays) and treatment of community‑acquired pneumonia within 4 hours of presentation to hospital.Antibiotic therapySee the NICE guideline on pneumonia (community-acquired): antimicrobial prescribing for recommendations on antibiotic therapy.Low-severity community-acquired pneumonia,Put in place processes to allow diagnosis (including X‑rays) and treatment of community‑acquired pneumonia within 4 hours of presentation to hospital.Antibiotic therapySee the NICE guideline on pneumonia (community-acquired): antimicrobial prescribing for recommendations on antibiotic therapy.Low-severity community-acquired pneumonia,LLM,Not at all,Completely
realmedqa_119,What can help with early relief of symptoms with breast cancer?,"Offer chemotherapy as first-line treatment for patients with ER positive advanced breast cancer whose disease is imminently life-threatening or requires early relief of symptoms because of significant visceral organ involvement, providing they understand and are prepared to accept the toxicity. [2009]","Offer chemotherapy as first-line treatment for patients with ER positive advanced breast cancer whose disease is imminently life-threatening or requires early relief of symptoms because of significant visceral organ involvement, providing they understand and are prepared to accept the toxicity. [2009]",LLM,Completely,Completely
realmedqa_120,When should children with constipation be tested for hypothyroidism?,If the history-taking and/or physical examination show evidence of faltering growth treat for constipation and test for coeliac disease (see the NICE guideline on coeliac disease) and hypothyroidism.,If the history-taking and/or physical examination show evidence of faltering growth treat for constipation and test for coeliac disease (see the NICE guideline on coeliac disease) and hypothyroidism.,LLM,Completely,Completely
realmedqa_121,How should children at increased risk of familial hypercholesterolaemia be managed?,"In children aged 0–10 years at risk of FH because of 1 affected parent, offer a DNA test at the earliest opportunity. If testing of a child at risk has not been undertaken by the age of 10 years, offer an additional opportunity for a DNA test. [2017]","In children aged 0–10 years at risk of FH because of 1 affected parent, offer a DNA test at the earliest opportunity. If testing of a child at risk has not been undertaken by the age of 10 years, offer an additional opportunity for a DNA test. [2017]",LLM,Completely,Completely
realmedqa_122,"3) Have you ordered appropriate tests to confirm or rule out TB as the cause of meningitis, such as a chest X-ray or a lumbar puncture to obtain cerebrospinal fluid (CSF) for analysis?","If herpes simplex meningoencephalitis is part of the differential diagnosis, give appropriate antiviral treatment.Treatment for specific infections in confirmed bacterial meningitisChildren and young people aged 3 months or older","If herpes simplex meningoencephalitis is part of the differential diagnosis, give appropriate antiviral treatment.Treatment for specific infections in confirmed bacterial meningitisChildren and young people aged 3 months or older",LLM,Not at all,Not at all
realmedqa_123,"2) What particular information, such as the causes and early indicators of pressure ulcers, as well as measures to prevent them, should be included in the education?","Offer timely, tailored information to people who have been assessed as being at high risk of developing a pressure ulcer, and their family or carers. The information should be delivered by a trained or experienced healthcare professional and include:the causes of a pressure ulcer the early signs of a pressure ulcerways to prevent a pressure ulcerthe implications of having a pressure ulcer (for example, for general health, treatment options and the risk of developing pressure ulcers in the future).Demonstrate techniques and equipment used to prevent a pressure ulcer.","Offer timely, tailored information to people who have been assessed as being at high risk of developing a pressure ulcer, and their family or carers. The information should be delivered by a trained or experienced healthcare professional and include:the causes of a pressure ulcer the early signs of a pressure ulcerways to prevent a pressure ulcerthe implications of having a pressure ulcer (for example, for general health, treatment options and the risk of developing pressure ulcers in the future).Demonstrate techniques and equipment used to prevent a pressure ulcer.",LLM,Not at all,Completely
realmedqa_124,Should bone scintigraphy be used in breast cancer?,Assess the presence and extent of metastases in the bones of the axial skeleton using bone windows on a CT scan or MRI or bone scintigraphy. [2009],Assess the presence and extent of metastases in the bones of the axial skeleton using bone windows on a CT scan or MRI or bone scintigraphy. [2009],LLM,Completely,Partially
realmedqa_125,"How can we offer the client post-assessment help, especially if sensitive subjects such as childhood trauma were mentioned during the assessment?",Managing endings and supporting transitions,Managing endings and supporting transitions,LLM,Not at all,Not at all
realmedqa_126,What are the various approaches to reporting medication allergy status in medical records?,"If drug allergy status has been documented, record all of the following at a minimum:the drug name","If drug allergy status has been documented, record all of the following at a minimum:the drug name",LLM,Not at all,Not at all
realmedqa_127,When should you not use bone scintigraphy in advanced breast cancer?,Assess the patient's individual preference for the level and type of information. Reassess this as circumstances change. [2009],Assess the patient's individual preference for the level and type of information. Reassess this as circumstances change. [2009],LLM,Completely,Not at all
realmedqa_128,- from what age group should hospital admission for acute alcohol withdrawal and additional assessments be done?,"For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]","For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]",LLM,Completely,Partially
realmedqa_129,Is gastroenteritis a notifiable disease in children under 5?,"If stool microbiology is performed:collect, store and transport stool specimens as advised by the investigating laboratoryprovide the laboratory with relevant clinical information.","If stool microbiology is performed:collect, store and transport stool specimens as advised by the investigating laboratoryprovide the laboratory with relevant clinical information.",LLM,Completely,Not at all
realmedqa_130,What is second line in maintenance treatment for severe oesophagitis?,"If the person's severe oesophagitis fails to respond to maintenance treatment, carry out a clinical review. Consider switching to another PPI at full dose or high dose (see table 2 in appendix A), taking into account the person's preference and clinical circumstances, and/or seeking specialist advice. [new 2014]","If the person's severe oesophagitis fails to respond to maintenance treatment, carry out a clinical review. Consider switching to another PPI at full dose or high dose (see table 2 in appendix A), taking into account the person's preference and clinical circumstances, and/or seeking specialist advice. [new 2014]",LLM,Completely,Completely
realmedqa_131,"1) Can you tell me about your sleeping arrangements at home? Does the youngster or adolescent have his or her own bed or bedroom, or does he or she share a bed with another person?","Discuss factors that might affect treatment and support needs, such as:sleeping arrangements (for example, does the child or young person have his or her own bed or bedroom)the impact of bedwetting on the child or young person and familywhether the child or young person and parents or carers have the necessary level of commitment, including time available, to engage in a treatment programme.","Discuss factors that might affect treatment and support needs, such as:sleeping arrangements (for example, does the child or young person have his or her own bed or bedroom)the impact of bedwetting on the child or young person and familywhether the child or young person and parents or carers have the necessary level of commitment, including time available, to engage in a treatment programme.",LLM,Not at all,Not at all
realmedqa_132,2) What are the indications for utilising this intervention in people who have not responded to first therapy or have only partially responded?,"in the section on delivering psychological interventions for adults). Be aware of the more limited clinical effectiveness and lower cost effectiveness of this intervention compared with CBT, self-help and pharmacological interventions. Options for adults with no or a partial response to initial treatment","in the section on delivering psychological interventions for adults). Be aware of the more limited clinical effectiveness and lower cost effectiveness of this intervention compared with CBT, self-help and pharmacological interventions. Options for adults with no or a partial response to initial treatment",LLM,Not at all,Not at all
realmedqa_133,How often should physiological observations be recorded in children and young people with suspected bacterial meningitis or meningococcal septicaemia?,"In children and young people with suspected bacterial meningitis or meningococcal septicaemia, undertake and record physiological observations of heart rate, respiratory rate, oxygen saturations, blood pressure, temperature, perfusion (capillary refill) and neurological assessment (for example, the Alert, Voice, Pain, Unresponsive [AVPU] scale) at least hourly.","In children and young people with suspected bacterial meningitis or meningococcal septicaemia, undertake and record physiological observations of heart rate, respiratory rate, oxygen saturations, blood pressure, temperature, perfusion (capillary refill) and neurological assessment (for example, the Alert, Voice, Pain, Unresponsive [AVPU] scale) at least hourly.",LLM,Completely,Completely
realmedqa_134,Can asthma and allergic rhinitis be connected to inhalant allergy?,"Healthcare professionals should consider a diagnosis of inhalant allergy in children with seasonal flares of atopic eczema, children with atopic eczema associated with asthma or allergic rhinitis, and children aged 3 years or over with atopic eczema on the face, particularly around the eyes.","Healthcare professionals should consider a diagnosis of inhalant allergy in children with seasonal flares of atopic eczema, children with atopic eczema associated with asthma or allergic rhinitis, and children aged 3 years or over with atopic eczema on the face, particularly around the eyes.",LLM,Completely,Completely
realmedqa_135,"What are the many forms of oral nutritional supplements available, and how do they differ?","Healthcare professionals should ensure that the overall nutrient intake of oral nutrition support offered contains a balanced mixture of protein, energy, fibre, electrolytes, vitamins and minerals.","Healthcare professionals should ensure that the overall nutrient intake of oral nutrition support offered contains a balanced mixture of protein, energy, fibre, electrolytes, vitamins and minerals.",LLM,Completely,Not at all
realmedqa_136,- what neutrophil count is considered significant neutropenia?,"For adult patients (aged 18 years and older) with acute leukaemias, stem cell transplants or solid tumours in whom significant neutropenia (neutrophil count 0.5×109 per litre or lower) is an anticipated consequence of chemotherapy, offer prophylaxis with a fluoroquinolone[4] during the expected period of neutropenia only. Follow the MHRA safety advice on fluoroquinolone antibiotics.","For adult patients (aged 18 years and older) with acute leukaemias, stem cell transplants or solid tumours in whom significant neutropenia (neutrophil count 0.5×109 per litre or lower) is an anticipated consequence of chemotherapy, offer prophylaxis with a fluoroquinolone[4] during the expected period of neutropenia only. Follow the MHRA safety advice on fluoroquinolone antibiotics.",LLM,Completely,Completely
realmedqa_137,2) What is the patient's current treatment plan?,"Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.","Discuss with children and young people at high risk of developing a heel pressure ulcer and their parents and carers, where appropriate, a strategy to offload heel pressure as part of their individualised care plan.",LLM,Not at all,Not at all
realmedqa_138,3) Have you recently taken any medications that could cause liver damage?,Do not use the albumin/bilirubin ratio when making decisions about the management of hyperbilirubinaemia. [2010],Do not use the albumin/bilirubin ratio when making decisions about the management of hyperbilirubinaemia. [2010],LLM,Not at all,Not at all
realmedqa_139,When to measure serum tryptase for anaphylaxis?,"After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.","After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.",LLM,Completely,Completely
realmedqa_140,What additional treatment should be given to under 16s in acute alcohol withdrawal?,"For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]","For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]",LLM,Completely,Partially
realmedqa_141,What is the recommended number of sessions of acupuncture for the prophylactic treatment of chronic tension-type headache?,"Offer combination therapy with an oral triptan and an NSAID, or an oral triptan and paracetamol, for the acute treatment of migraine, taking into account the person's preference, comorbidities and risk of adverse events. For young people aged 12 to 17 years consider a nasal triptan in preference to an oral triptan. [2012]In November 2015, this was an off-label use of triptans (except nasal sumatriptan) in under 18s. See NICE's information on prescribing medicines.","Offer combination therapy with an oral triptan and an NSAID, or an oral triptan and paracetamol, for the acute treatment of migraine, taking into account the person's preference, comorbidities and risk of adverse events. For young people aged 12 to 17 years consider a nasal triptan in preference to an oral triptan. [2012]In November 2015, this was an off-label use of triptans (except nasal sumatriptan) in under 18s. See NICE's information on prescribing medicines.",LLM,Completely,Not at all
realmedqa_142,What is given when a patient has liver disease and in acute alcohol withdrawal?,Offer prophylactic parenteral thiamine followed by oral thiamine to harmful or dependent drinkers:if they are malnourished or at risk of malnourishment orif they have decompensated liver diseaseand in additionthey attend an emergency department orare admitted to hospital with an acute illness or injury. [2010],Offer prophylactic parenteral thiamine followed by oral thiamine to harmful or dependent drinkers:if they are malnourished or at risk of malnourishment orif they have decompensated liver diseaseand in additionthey attend an emergency department orare admitted to hospital with an acute illness or injury. [2010],LLM,Completely,Completely
realmedqa_143,- Can diets based on goat's milk or sheep's milk be used in the management of cow's milk allergy in children with atopic eczema?,"Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.","Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.",LLM,Completely,Completely
realmedqa_144,What are some of the things that should be assessed during screening for immediate safety and comfort of a person with stroke?,"On admission to hospital, to ensure the immediate safety and comfort of the person with stroke, screen them for the following and, if problems are identified, start management as soon as possible:orientation positioning, moving and handlingswallowingtransfers (for example, from bed to chair)pressure area riskcontinencecommunication, including the ability to understand and follow instructions and to convey needs and wishesnutritional status and hydration (follow the recommendations in the NICE guidelines on stroke and nutrition support for adults).","On admission to hospital, to ensure the immediate safety and comfort of the person with stroke, screen them for the following and, if problems are identified, start management as soon as possible:orientation positioning, moving and handlingswallowingtransfers (for example, from bed to chair)pressure area riskcontinencecommunication, including the ability to understand and follow instructions and to convey needs and wishesnutritional status and hydration (follow the recommendations in the NICE guidelines on stroke and nutrition support for adults).",LLM,Completely,Completely
realmedqa_145,What family history is required when considering an FH diagnosis?,"When considering a diagnosis of FH, healthcare professionals with expertise in FH should use standardised pedigree terminology to document, when possible, at least a three-generation pedigree. This should include relatives' age of onset of coronary heart disease, lipid concentrations and smoking history. For deceased relatives, the age and cause of death, and smoking history should be documented. If possible, the index individual should verify this information with other family members. [2008]","When considering a diagnosis of FH, healthcare professionals with expertise in FH should use standardised pedigree terminology to document, when possible, at least a three-generation pedigree. This should include relatives' age of onset of coronary heart disease, lipid concentrations and smoking history. For deceased relatives, the age and cause of death, and smoking history should be documented. If possible, the index individual should verify this information with other family members. [2008]",LLM,Completely,Completely
realmedqa_146,5) How are hygiene practises monitored and reviewed to guarantee efficacy?,"Routine hygiene measures taken by staff caring for women in labour, including standard hand hygiene and single‑use non‑sterile gloves, are appropriate to reduce cross‑contamination between women, babies and healthcare professionals. [2007]","Routine hygiene measures taken by staff caring for women in labour, including standard hand hygiene and single‑use non‑sterile gloves, are appropriate to reduce cross‑contamination between women, babies and healthcare professionals. [2007]",LLM,Not at all,Not at all
realmedqa_147,3) Are you looking for a long-term or short-term contraceptive option?,Healthcare professionals should supply an interim method of contraception at first appointment if required.,Healthcare professionals should supply an interim method of contraception at first appointment if required.,LLM,Not at all,Not at all
realmedqa_148,What are the best practises for creating care plans for persons with mild to severe learning difficulties and borderline personality disorder?,"People with a moderate or severe learning disability should not normally be diagnosed with borderline personality disorder. If they show behaviour and symptoms that suggest borderline personality disorder, refer for assessment and treatment by a specialist in learning disabilities services.","People with a moderate or severe learning disability should not normally be diagnosed with borderline personality disorder. If they show behaviour and symptoms that suggest borderline personality disorder, refer for assessment and treatment by a specialist in learning disabilities services.",LLM,Completely,Partially
realmedqa_149,What is the suggested duration of topical corticosteroids for preventing flares in children with atopic eczema?,A different topical corticosteroid of the same potency should be considered as an alternative to stepping up treatment if tachyphylaxis to a topical corticosteroid is suspected in children with atopic eczema.Topical calcineurin inhibitors,A different topical corticosteroid of the same potency should be considered as an alternative to stepping up treatment if tachyphylaxis to a topical corticosteroid is suspected in children with atopic eczema.Topical calcineurin inhibitors,LLM,Completely,Not at all
realmedqa_150,What are the best practises for documenting a patient's medication allergies in their medical records?,Prescriptions (paper or electronic) issued in any healthcare setting should be standardised and redesigned to record information on which drugs or drug classes to avoid to reduce the risk of drug allergy.,Prescriptions (paper or electronic) issued in any healthcare setting should be standardised and redesigned to record information on which drugs or drug classes to avoid to reduce the risk of drug allergy.,LLM,Partially,Completely
realmedqa_151,Where should patients with heart failure be referred to?,Ensure that all people being admitted to hospital with suspected acute heart failure have early and continuing input from a dedicated specialist heart failure team.,Ensure that all people being admitted to hospital with suspected acute heart failure have early and continuing input from a dedicated specialist heart failure team.,LLM,Not at all,Completely
realmedqa_152,What are risk factors for diarrhoea induced dehydration in children and infants?,"Recognise that the following are at increased risk of dehydration:children younger than 1 year, particularly those younger than 6 monthsinfants who were of low birth weightchildren who have passed more than five diarrhoeal stools in the previous 24 hourschildren who have vomited more than twice in the previous 24 hourschildren who have not been offered or have not been able to tolerate supplementary fluids before presentationinfants who have stopped breastfeeding during the illnesschildren with signs of malnutrition.","Recognise that the following are at increased risk of dehydration:children younger than 1 year, particularly those younger than 6 monthsinfants who were of low birth weightchildren who have passed more than five diarrhoeal stools in the previous 24 hourschildren who have vomited more than twice in the previous 24 hourschildren who have not been offered or have not been able to tolerate supplementary fluids before presentationinfants who have stopped breastfeeding during the illnesschildren with signs of malnutrition.",LLM,Completely,Completely
realmedqa_153,Is fruit juice advisable in children with gastroenterits?,offer ORS solution as supplemental fluid to those at increased risk of dehydration (see recommendation 1.2.1.2).,offer ORS solution as supplemental fluid to those at increased risk of dehydration (see recommendation 1.2.1.2).,LLM,Completely,Partially
realmedqa_154,2) Do you have any other medical issues or drugs that may interfere with your circulation?,Offer contrast‑enhanced magnetic resonance angiography to people with peripheral arterial disease who need further imaging (after duplex ultrasound) before considering revascularisation. [2012],Offer contrast‑enhanced magnetic resonance angiography to people with peripheral arterial disease who need further imaging (after duplex ultrasound) before considering revascularisation. [2012],LLM,Partially,Not at all
realmedqa_155,Where can metastatic disease progress in breast cancer?,"Use MRI to assess bony metastases if other imaging is equivocal for metastatic disease or if more information is needed (for example, if there are lytic metastases encroaching on the spinal canal). [2009]","Use MRI to assess bony metastases if other imaging is equivocal for metastatic disease or if more information is needed (for example, if there are lytic metastases encroaching on the spinal canal). [2009]",LLM,Not at all,Not at all
realmedqa_156,What assessments do you do for under 16s in alcohol withdrawal?,"For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]","For certain vulnerable people who are in acute alcohol withdrawal (for example, those who are frail, have cognitive impairment or multiple comorbidities, lack social support, have learning difficulties or are 16 or 17 years), consider a lower threshold for admission to hospital for medically assisted alcohol withdrawal. [2010]",LLM,Completely,Partially
realmedqa_157,What should be done before offering antidiarrhoeal medication to people with faecal incontinence with loose stools?,"The antidiarrhoeal drug of first choice should be loperamide hydrochloride. It can be used long term in doses from 0.5 mg to 16 mg per day as required. For doses under 2 mg, loperamide hydrochloride syrup should be considered. People who are unable to tolerate loperamide hydrochloride should be offered codeine phosphate or co-phenotrope. Prescribers should check the SPC for current licensed indications. Informed consent is needed when using outside the licensed indications. This should be discussed and documented in the notes. For guidance on safe prescribing of opioids (such as codeine phosphate) and managing withdrawal, see NICE's guideline on medicines associated with dependence or withdrawal symptoms.","The antidiarrhoeal drug of first choice should be loperamide hydrochloride. It can be used long term in doses from 0.5 mg to 16 mg per day as required. For doses under 2 mg, loperamide hydrochloride syrup should be considered. People who are unable to tolerate loperamide hydrochloride should be offered codeine phosphate or co-phenotrope. Prescribers should check the SPC for current licensed indications. Informed consent is needed when using outside the licensed indications. This should be discussed and documented in the notes. For guidance on safe prescribing of opioids (such as codeine phosphate) and managing withdrawal, see NICE's guideline on medicines associated with dependence or withdrawal symptoms.",LLM,Completely,Not at all
realmedqa_158,How long should you monitor patients with alcohol withdrawal?,Follow a symptom-triggered regimen for drug treatment for people in acute alcohol withdrawal who are:in hospital orin other settings where 24‑hour assessment and monitoring are available. [2010],Follow a symptom-triggered regimen for drug treatment for people in acute alcohol withdrawal who are:in hospital orin other settings where 24‑hour assessment and monitoring are available. [2010],LLM,Completely,Not at all
realmedqa_159,How may patients with non-blanching erythema be repositioned to ease pressure?,"Encourage adults who have been assessed as being at risk of developing a pressure ulcer to change their position frequently and at least every 6 hours. If they are unable to reposition themselves, offer help to do so, using appropriate equipment if needed. Document the frequency of repositioning required.","Encourage adults who have been assessed as being at risk of developing a pressure ulcer to change their position frequently and at least every 6 hours. If they are unable to reposition themselves, offer help to do so, using appropriate equipment if needed. Document the frequency of repositioning required.",LLM,Not at all,Not at all
realmedqa_160,Is goat's milk safe for under 6 months in cow's milk protein deficiency?,"Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.","Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.",LLM,Completely,Completely
realmedqa_161,3) What is the potency of the corticosteroid being considered?,Do not use very potent corticosteroids in children and young people.,Do not use very potent corticosteroids in children and young people.,LLM,Not at all,Not at all
realmedqa_162,What changes can be made to avoid seizures in alcohol withdrawal patients/,"If alcohol withdrawal seizures develop in a person during treatment for acute alcohol withdrawal, review their withdrawal drug regimen. [2010]","If alcohol withdrawal seizures develop in a person during treatment for acute alcohol withdrawal, review their withdrawal drug regimen. [2010]",LLM,Completely,Completely
realmedqa_163,What does high mast cell tryptase levels mean in the context of medication allergy?,Ensure that tryptase sampling tubes are included in emergency anaphylaxis kits.Measuring serum specific immunoglobulin E,Ensure that tryptase sampling tubes are included in emergency anaphylaxis kits.Measuring serum specific immunoglobulin E,LLM,Completely,Not at all
realmedqa_164,- When is mast cell tryptase testing performed after a suspected anaphylactic reaction?,"After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.","After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.",LLM,Completely,Completely
realmedqa_165,How can the frequency of repositioning be adequately documented?,Consider more frequent repositioning than every 4 hours for neonates and infants who have been assessed as being at high risk of developing a pressure ulcer. Document the frequency of repositioning required.,Consider more frequent repositioning than every 4 hours for neonates and infants who have been assessed as being at high risk of developing a pressure ulcer. Document the frequency of repositioning required.,LLM,Completely,Not at all
realmedqa_166,1) What are the most effective corticosteroids for treating trunk or limb psoriasis?,"If once-daily application of a potent corticosteroid plus once-daily application of vitamin D or a vitamin D analogue does not result in clearance, near clearance or satisfactory control of trunk or limb psoriasis in adults after a maximum of 8 weeks, offer vitamin D or a vitamin D analogue alone applied twice daily. Also see","If once-daily application of a potent corticosteroid plus once-daily application of vitamin D or a vitamin D analogue does not result in clearance, near clearance or satisfactory control of trunk or limb psoriasis in adults after a maximum of 8 weeks, offer vitamin D or a vitamin D analogue alone applied twice daily. Also see",LLM,Completely,Completely
realmedqa_167,- how many stages are involved in effective handwashing technique?,"When decontaminating hands using an alcohol handrub, hands should be free from dirt and organic material. The handrub solution must come into contact with all surfaces of the hand. The hands must be rubbed together vigorously, paying particular attention to the tips of the fingers, the thumbs and the areas between the fingers, until the solution has evaporated and the hands are dry. [2003]","When decontaminating hands using an alcohol handrub, hands should be free from dirt and organic material. The handrub solution must come into contact with all surfaces of the hand. The hands must be rubbed together vigorously, paying particular attention to the tips of the fingers, the thumbs and the areas between the fingers, until the solution has evaporated and the hands are dry. [2003]",LLM,Not at all,Partially
realmedqa_168,3) Is the tissue sample sufficient for immunohistochemistry testing?,"Use a panel of antibodies comprising cytokeratin 7 (CK7), CK20, thyroid transcription factor-1 (TTF-1), placental alkaline phosphatase (PLAP), oestrogen receptor (ER; women only) and PSA (men only) in all patients with adenocarcinoma of unknown origin.","Use a panel of antibodies comprising cytokeratin 7 (CK7), CK20, thyroid transcription factor-1 (TTF-1), placental alkaline phosphatase (PLAP), oestrogen receptor (ER; women only) and PSA (men only) in all patients with adenocarcinoma of unknown origin.",LLM,Partially,Not at all
realmedqa_169,2) What is the recommended protocol for hospital assessment of patients with a CRB65 score of 2 or more?,"Use clinical judgement in conjunction with the CRB65 score to inform decisions about whether patients need hospital assessment as follows:consider home‑based care for patients with a CRB65 score of 0consider hospital assessment for all other patients, particularly those with a CRB65 score of 2 or more.Severity assessment in hospital","Use clinical judgement in conjunction with the CRB65 score to inform decisions about whether patients need hospital assessment as follows:consider home‑based care for patients with a CRB65 score of 0consider hospital assessment for all other patients, particularly those with a CRB65 score of 2 or more.Severity assessment in hospital",LLM,Completely,Completely
realmedqa_170,How can healthcare practitioners prevent persons with borderline personality disorder from being denied access to health and social care services?,People with borderline personality disorder should not be excluded from any health or social care service because of their diagnosis or because they have self-harmed.,People with borderline personality disorder should not be excluded from any health or social care service because of their diagnosis or because they have self-harmed.,LLM,Not at all,Not at all
realmedqa_171,What is given when a patient is malnourished and in acute alcohol withdrawal?,Offer prophylactic parenteral thiamine followed by oral thiamine to harmful or dependent drinkers:if they are malnourished or at risk of malnourishment orif they have decompensated liver diseaseand in additionthey attend an emergency department orare admitted to hospital with an acute illness or injury. [2010],Offer prophylactic parenteral thiamine followed by oral thiamine to harmful or dependent drinkers:if they are malnourished or at risk of malnourishment orif they have decompensated liver diseaseand in additionthey attend an emergency department orare admitted to hospital with an acute illness or injury. [2010],LLM,Completely,Completely
realmedqa_172,2) Is the youngster or adolescent embarrassed or ashamed of his or her bedwetting?,"Explore the child or young person's views about their bedwetting, including:what they think the main problem iswhether they think the problem needs treatment.","Explore the child or young person's views about their bedwetting, including:what they think the main problem iswhether they think the problem needs treatment.",LLM,Not at all,Not at all
realmedqa_173,Is inhalant eczema connected to atopic eczema?,"Healthcare professionals should consider a diagnosis of inhalant allergy in children with seasonal flares of atopic eczema, children with atopic eczema associated with asthma or allergic rhinitis, and children aged 3 years or over with atopic eczema on the face, particularly around the eyes.","Healthcare professionals should consider a diagnosis of inhalant allergy in children with seasonal flares of atopic eczema, children with atopic eczema associated with asthma or allergic rhinitis, and children aged 3 years or over with atopic eczema on the face, particularly around the eyes.",LLM,Completely,Partially
